TEAM,
,PTS/G
Georgia Bulldogs,11.3
Illinois Fighting Illini,12.3
Michigan Wolverines,12.7
Air Force Falcons,13.3
Minnesota Golden Gophers,13.3
Iowa Hawkeyes,14.4
Marshall Thundering Herd,16.2
Troy Trojans,16.8
Boise State Broncos,17.8
Penn State Nittany Lions,18
Alabama Crimson Tide,18
Kentucky Wildcats,19.1
Ohio State Buckeyes,19.3
South Alabama Jaguars,19.4
NC State Wolfpack,19.4
Kansas State Wildcats,19.4
Florida State Seminoles,19.7
Tulane Green Wave,19.8
San Diego State Aztecs,20.2
Louisville Cardinals,20.2
Iowa State Cyclones,20.3
San José State Spartans,20.3
Cincinnati Bearcats,20.3
Utah Utes,20.4
Wisconsin Badgers,20.5
Fresno State Bulldogs,20.8
James Madison Dukes,20.9
Clemson Tigers,20.9
Texas A&M Aggies,21.2
Texas Longhorns,21.2
UCF Knights,21.3
Oregon State Beavers,21.4
LSU Tigers,21.5
Notre Dame Fighting Irish,21.8
Washington State Cougars,22.4
Miami (OH) RedHawks,22.5
Syracuse Orange,22.7
Duke Blue Devils,22.8
Louisiana Ragin' Cajuns,22.8
Army Black Knights,23
Purdue Boilermakers,23.1
UAB Blazers,23.4
Pittsburgh Panthers,23.4
Western Kentucky Hilltoppers,23.5
Southern Miss Golden Eagles,23.5
Tennessee Volunteers,23.5
Virginia Cavaliers,24
Maryland Terrapins,24.1
Western Michigan Broncos,24.1
Ole Miss Rebels,24.2
Mississippi State Bulldogs,24.2
TCU Horned Frogs,24.5
Virginia Tech Hokies,24.7
Navy Midshipmen,24.7
Liberty Flames,24.9
Missouri Tigers,25
New Mexico Lobos,26
UConn Huskies,26.1
New Mexico State Aggies,26.3
Washington Huskies,26.3
Texas State Bobcats,26.3
UTSA Roadrunners,26.5
Baylor Bears,26.6
Old Dominion Monarchs,26.6
Florida Atlantic Owls,26.6
Appalachian State Mountaineers,26.8
Miami Hurricanes,26.8
Colorado State Rams,26.9
Ball State Cardinals,26.9
East Carolina Pirates,27
UTEP Miners,27
Toledo Rockets,27.1
Buffalo Bulls,27.2
Memphis Tigers,27.3
Michigan State Spartans,27.4
Oregon Ducks,27.4
South Carolina Gamecocks,27.5
Nebraska Cornhuskers,27.6
California Golden Bears,27.8
USC Trojans,27.9
Middle Tennessee Blue Raiders,28.1
Central Michigan Chippewas,28.2
UCLA Bruins,28.3
Northwestern Wildcats,28.3
Georgia Tech Yellow Jackets,28.4
UNLV Rebels,28.5
Eastern Michigan Eagles,28.6
Coastal Carolina Chanticleers,28.7
Arkansas Razorbacks,28.8
Florida Gators,28.8
Kent State Golden Flashes,29
Wake Forest Demon Deacons,29.3
Rutgers Scarlet Knights,29.3
Temple Owls,29.3
Ohio Bobcats,29.3
Oklahoma State Cowboys,29.3
Auburn Tigers,29.5
Texas Tech Red Raiders,29.5
Oklahoma Sooners,29.6
BYU Cougars,30
Boston College Eagles,30.3
North Carolina Tar Heels,30.3
Utah State Aggies,30.6
Nevada Wolf Pack,30.9
UMass Minutemen,31.1
Georgia State Panthers,31.2
Arizona State Sun Devils,31.4
Arkansas State Red Wolves,31.4
North Texas Mean Green,31.5
Stanford Cardinal,32.2
Georgia Southern Eagles,32.3
Northern Illinois Huskies,32.8
West Virginia Mountaineers,32.9
Tulsa Golden Hurricane,33.1
Bowling Green Falcons,33.3
Houston Cougars,33.5
Akron Zips,33.5
Rice Owls,33.8
Kansas Jayhawks,33.8
Indiana Hoosiers,33.9
UL Monroe Warhawks,34.4
SMU Mustangs,34.7
Hawai'i Rainbow Warriors,34.7
Vanderbilt Commodores,36
Arizona Wildcats,36.5
Florida International Panthers,37.3
Louisiana Tech Bulldogs,37.9
Charlotte 49ers,39.4
South Florida Bulls,41.2
Colorado Buffaloes,44.5
