ID,school,mascot,location.latitude,location.longitude,Team
1,Air Force,Falcons,38.9969701,-104.8436165,
2,Akron,Zips,41.0725534,-81.5083408,
3,Alabama,Crimson Tide,33.2082752,-87.5503836,
4,Appalachian State,Mountaineers,36.2114267,-81.6854278,
5,Arizona,Wildcats,32.2288054,-110.9488677,
6,Arizona State,Sun Devils,33.4264471,-111.9325005,
7,Arkansas,Razorbacks,36.0680662,-94.1789534,
8,Arkansas State,Red Wolves,35.8488977,-90.6677436,
9,Army,Black Knights,41.3874924,-73.9640891,
10,Auburn,Tigers,32.6025532,-85.4897479,
11,Ball State,Cardinals,40.2159422,-85.4161148,
12,Baylor,Bears,31.5582015,-97.1156702,
13,Boise State,Broncos,43.6028839,-116.1958882,
14,Boston College,Eagles,42.335104,-71.1664413,
15,Bowling Green,Falcons,41.3780114,-83.6225,
16,Buffalo,Bulls,42.9991334,-78.7775113,
17,BYU,Cougars,40.2575347,-111.6545247,
18,California,Golden Bears,37.8710434,-122.2507729,
19,Central Michigan,Chippewas,43.5777313,-84.7709904,
20,Charlotte,49ers,35.3105033,-80.7401194,
21,Cincinnati,Bearcats,39.1312495,-84.5161913,
22,Clemson,Tigers,34.6787737,-82.8432428,
23,Coastal Carolina,Chanticleers,33.7928506,-79.0166946,
24,Colorado,Buffaloes,40.0094746,-105.266905,
25,Colorado State,Rams,40.570015,-105.088435,
26,Connecticut,Huskies,41.7595675,-72.6187728,
27,Duke,Blue Devils,35.9953688,-78.9417564,
28,East Carolina,Pirates,35.5968486,-77.364564,
29,Eastern Michigan,Eagles,42.256126,-83.647285,
30,Florida,Gators,29.6499357,-82.3485788,
31,Florida Atlantic,Owls,26.3763763,-80.1015759,
32,Florida International,Golden Panthers,25.7525014,-80.3778912,
33,Florida State,Seminoles,30.4381692,-84.3044032,
34,Fresno State,Bulldogs,36.8143527,-119.7580092,
35,Georgia,Bulldogs,33.9498197,-83.3733813,
36,Georgia Southern,Eagles,32.4122471,-81.7849296,
37,Georgia State,Panthers,33.735267,-84.389949,
38,Georgia Tech,Yellow Jackets,33.7724449,-84.3928054,
39,Hawai'i,Rainbow Warriors,21.294294,-157.819338,
40,Houston,Cougars,29.7219885,-95.3491623,
41,Illinois,Fighting Illini,40.0993268,-88.2359569,
42,Indiana,Hoosiers,39.1808959,-86.5256217,
43,Iowa,Hawkeyes,41.6586045,-91.5510829,
44,Iowa State,Cyclones,42.0139977,-93.6357716,
45,James Madison,Dukes,38.4352919,-78.8729349,
46,Kansas,Jayhawks,38.9629418,-95.2463686,
47,Kansas State,Wildcats,39.2020096,-96.5938395,
48,Kent State,Golden Flashes,41.1390935,-81.31346,
49,Kentucky,Wildcats,38.0220905,-84.5053408,
50,Liberty,Flames,37.3544305,-79.1750239,
51,Louisiana,Ragin' Cajuns,30.2158434,-92.0417371,
52,Louisiana Monroe,Warhawks,32.5308089,-92.0660602,
53,Louisiana Tech,Bulldogs,32.5321487,-92.6560019,
54,Louisville,Cardinals,38.2057621,-85.7588141,
55,LSU,Tigers,30.412035,-91.1838163,
56,Marshall,Thundering Herd,38.4247042,-82.4214412,
57,Maryland,Terrapins,38.9903332,-76.9473792,
58,Memphis,Tigers,35.1209429,-89.977147,
59,Miami,Hurricanes,25.9579665,-80.2388604,
60,Miami (OH),RedHawks,39.5197009,-84.7330255,
61,Michigan,Wolverines,42.2658365,-83.7486956,
62,Michigan State,Spartans,42.7281474,-84.4848526,
63,Middle Tennessee,Blue Raiders,35.8511463,-86.3681649,
64,Minnesota,Golden Gophers,44.976525,-93.2245462,
65,Mississippi State,Bulldogs,33.4563403,-88.7933652,
66,Missouri,Tigers,38.9358491,-92.3332009,
67,Navy,Midshipmen,38.9846985,-76.5076335,
68,NC State,Wolfpack,35.8008001,-78.7195655,
69,Nebraska,Cornhuskers,40.820682,-96.705594,
70,Nevada,Wolf Pack,39.5469459,-119.8175435,
71,New Mexico,Lobos,35.0669479,-106.6283225,
72,New Mexico State,Aggies,32.2796202,-106.7411148,
73,North Carolina,Tar Heels,35.9069294,-79.0478889,
74,Northern Illinois,Huskies,41.9339586,-88.7778357,
75,North Texas,Mean Green,33.203899,-97.159245,
