ID,destination,TransferIn_Recruit,Year
1,Air Force,0,2022
2,Akron,9,2022
3,Alabama,4,2022
4,Appalachian State,4,2022
5,Arizona,3,2022
6,Arizona State,9,2022
7,Arkansas,3,2022
8,Arkansas State,4,2022
9,Army,0,2022
10,Auburn,4,2022
17,BYU,3,2022
11,Ball State,2,2022
12,Baylor,1,2022
13,Boise State,2,2022
14,Boston College,3,2022
15,Bowling Green,3,2022
16,Buffalo,11,2022
18,California,3,2022
19,Central Michigan,1,2022
20,Charlotte,0,2022
21,Cincinnati,4,2022
22,Clemson,1,2022
23,Coastal Carolina,1,2022
24,Colorado,4,2022
25,Colorado State,7,2022
26,Connecticut,7,2022
27,Duke,3,2022
28,East Carolina,7,2022
29,Eastern Michigan,3,2022
30,Florida,5,2022
31,Florida Atlantic,5,2022
32,Florida International,5,2022
33,Florida State,9,2022
34,Fresno State,4,2022
35,Georgia,0,2022
36,Georgia Southern,7,2022
37,Georgia State,3,2022
38,Georgia Tech,10,2022
39,Hawai'i,6,2022
40,Houston,8,2022
41,Illinois,4,2022
42,Indiana,6,2022
43,Iowa,1,2022
44,Iowa State,2,2022
46,Kansas,7,2022
47,Kansas State,2,2022
48,Kent State,2,2022
49,Kentucky,4,2022
55,LSU,5,2022
50,Liberty,8,2022
51,Louisiana,1,2022
52,Louisiana Monroe,2,2022
53,Louisiana Tech,3,2022
54,Louisville,3,2022
56,Marshall,6,2022
57,Maryland,2,2022
58,Memphis,4,2022
59,Miami,4,2022
60,Miami (OH),4,2022
61,Michigan,1,2022
62,Michigan State,4,2022
63,Middle Tennessee,6,2022
64,Minnesota,2,2022
65,Mississippi State,3,2022
66,Missouri,4,2022
68,NC State,1,2022
67,Navy,0,2022
69,Nebraska,7,2022
70,Nevada,11,2022
71,New Mexico,5,2022
72,New Mexico State,3,2022
73,North Carolina,2,2022
75,North Texas,6,2022
74,Northern Illinois,2,2022
76,Northwestern,1,2022
77,Notre Dame,0,2022
78,Ohio,2,2022
79,Ohio State,0,2022
80,Oklahoma,7,2022
81,Oklahoma State,3,2022
82,Old Dominion,2,2022
83,Ole Miss,10,2022
84,Oregon,4,2022
85,Oregon State,1,2022
86,Penn State,2,2022
87,Pittsburgh,6,2022
88,Purdue,5,2022
89,Rice,3,2022
90,Rutgers,6,2022
93,SMU,8,2022
91,San Diego State,4,2022
92,San José State,6,2022
94,South Alabama,7,2022
95,South Carolina,8,2022
97,South Florida,7,2022
96,Southern Mississippi,3,2022
98,Stanford,0,2022
99,Syracuse,5,2022
100,TCU,6,2022
101,Temple,7,2022
102,Tennessee,5,2022
103,Texas,5,2022
104,Texas A&M,1,2022
105,Texas State,11,2022
106,Texas Tech,9,2022
107,Toledo,3,2022
108,Troy,3,2022
109,Tulane,5,2022
110,Tulsa,5,2022
111,UAB,1,2022
112,UCF,8,2022
113,UCLA,5,2022
114,UMass,7,2022
115,UNLV,4,2022
116,USC,8,2022
120,UT San Antonio,3,2022
119,UTEP,0,2022
117,Utah,2,2022
118,Utah State,4,2022
121,Vanderbilt,2,2022
122,Virginia,4,2022
123,Virginia Tech,4,2022
124,Wake Forest,1,2022
125,Washington,5,2022
126,Washington State,4,2022
129,West Virginia,3,2022
127,Western Kentucky,6,2022
128,Western Michigan,3,2022
130,Wisconsin,1,2022
131,Wyoming,1,2022
