ID,school,mascot,location.latitude,location.longitude,Team,TeamFullName
1,Air Force,Falcons,38.9969701,-104.8436165,,Air Force Falcons
2,Akron,Zips,41.0725534,-81.5083408,,Akron Zips
3,Alabama,Crimson Tide,33.2082752,-87.5503836,,Alabama Crimson Tide
4,Appalachian State,Mountaineers,36.2114267,-81.6854278,,Appalachian State Mountaineers
5,Arizona,Wildcats,32.2288054,-110.9488677,,Arizona Wildcats
6,Arizona State,Sun Devils,33.4264471,-111.9325005,,Arizona State Sun Devils
7,Arkansas,Razorbacks,36.0680662,-94.1789534,,Arkansas Razorbacks
8,Arkansas State,Red Wolves,35.8488977,-90.6677436,,Arkansas State Red Wolves
9,Army,Black Knights,41.3874924,-73.9640891,,Army Black Knights
10,Auburn,Tigers,32.6025532,-85.4897479,,Auburn Tigers
11,Ball State,Cardinals,40.2159422,-85.4161148,,Ball State Cardinals
12,Baylor,Bears,31.5582015,-97.1156702,,Baylor Bears
13,Boise State,Broncos,43.6028839,-116.1958882,,Boise State Broncos
14,Boston College,Eagles,42.335104,-71.1664413,,Boston College Eagles
15,Bowling Green,Falcons,41.3780114,-83.6225,,Bowling Green Falcons
16,Buffalo,Bulls,42.9991334,-78.7775113,,Buffalo Bulls
17,BYU,Cougars,40.2575347,-111.6545247,,BYU Cougars
18,California,Golden Bears,37.8710434,-122.2507729,,California Golden Bears
19,Central Michigan,Chippewas,43.5777313,-84.7709904,,Central Michigan Chippewas
20,Charlotte,49ers,35.3105033,-80.7401194,,Charlotte 49ers
21,Cincinnati,Bearcats,39.1312495,-84.5161913,,Cincinnati Bearcats
22,Clemson,Tigers,34.6787737,-82.8432428,,Clemson Tigers
23,Coastal Carolina,Chanticleers,33.7928506,-79.0166946,,Coastal Carolina Chanticleers
24,Colorado,Buffaloes,40.0094746,-105.266905,,Colorado Buffaloes
25,Colorado State,Rams,40.570015,-105.088435,,Colorado State Rams
26,Connecticut,Huskies,41.7595675,-72.6187728,,Connecticut Huskies
27,Duke,Blue Devils,35.9953688,-78.9417564,,Duke Blue Devils
28,East Carolina,Pirates,35.5968486,-77.364564,,East Carolina Pirates
29,Eastern Michigan,Eagles,42.256126,-83.647285,,Eastern Michigan Eagles
30,Florida,Gators,29.6499357,-82.3485788,,Florida Gators
31,Florida Atlantic,Owls,26.3763763,-80.1015759,,Florida Atlantic Owls
32,Florida International,Golden Panthers,25.7525014,-80.3778912,,Florida International Golden Panthers
33,Florida State,Seminoles,30.4381692,-84.3044032,,Florida State Seminoles
34,Fresno State,Bulldogs,36.8143527,-119.7580092,,Fresno State Bulldogs
35,Georgia,Bulldogs,33.9498197,-83.3733813,,Georgia Bulldogs
36,Georgia Southern,Eagles,32.4122471,-81.7849296,,Georgia Southern Eagles
37,Georgia State,Panthers,33.735267,-84.389949,,Georgia State Panthers
38,Georgia Tech,Yellow Jackets,33.7724449,-84.3928054,,Georgia Tech Yellow Jackets
39,Hawai'i,Rainbow Warriors,21.294294,-157.819338,,Hawai'i Rainbow Warriors
40,Houston,Cougars,29.7219885,-95.3491623,,Houston Cougars
41,Illinois,Fighting Illini,40.0993268,-88.2359569,,Illinois Fighting Illini
42,Indiana,Hoosiers,39.1808959,-86.5256217,,Indiana Hoosiers
43,Iowa,Hawkeyes,41.6586045,-91.5510829,,Iowa Hawkeyes
44,Iowa State,Cyclones,42.0139977,-93.6357716,,Iowa State Cyclones
45,Kansas,Jayhawks,38.9629418,-95.2463686,,Kansas Jayhawks
