ID,Team,Points/G,Year
1,Air Force Falcons,30.8,2021
2,Akron Zips,19.8,2021
3,Alabama Crimson Tide,39.6,2021
4,Appalachian State Mountaineers,34.5,2021
5,Arizona State Sun Devils,28.4,2021
6,Arizona Wildcats,17.2,2021
7,Arkansas Razorbacks,30.9,2021
8,Arkansas State Red Wolves,25.3,2021
9,Army Black Knights,32.8,2021
10,Auburn Tigers,28.2,2021
11,BYU Cougars,33.1,2021
12,Ball State Cardinals,24.1,2021
13,Baylor Bears,31.6,2021
14,Boise State Broncos,29.2,2021
15,Boston College Eagles,24.7,2021
16,Bowling Green Falcons,21.4,2021
17,Buffalo Bulls,29.2,2021
18,California Golden Bears,23.8,2021
19,Central Michigan Chippewas,32.3,2021
20,Charlotte 49ers,27.2,2021
21,Cincinnati Bearcats,36.9,2021
22,Clemson Tigers,26.3,2021
23,Coastal Carolina Chanticleers,40.9,2021
24,Colorado Buffaloes,18.8,2021
25,Colorado State Rams,23.7,2021
26,Connecticut Huskies,15.6,2021
27,Duke Blue Devils,22.8,2021
28,East Carolina Pirates,29.7,2021
29,Eastern Michigan Eagles,30.2,2021
30,Florida Atlantic Owls,25.6,2021
31,Florida Gators,30.7,2021
32,Florida International Golden Panthers,20.3,2021
33,Florida State Seminoles,27.6,2021
34,Fresno State Bulldogs,33.4,2021
35,Georgia Bulldogs,38.6,2021
36,Georgia Southern Eagles,20.3,2021
37,Georgia State Panthers,28.2,2021
38,Georgia Tech Yellow Jackets,24.0,2021
39,Hawai'i Rainbow Warriors,28.8,2021
40,Houston Cougars,35.9,2021
41,Illinois Fighting Illini,19.8,2021
42,Indiana Hoosiers,17.3,2021
43,Iowa Hawkeyes,23.4,2021
44,Iowa State Cyclones,31.3,2021
45,Kansas Jayhawks,20.8,2021
46,Kansas State Wildcats,27.5,2021
47,Kent State Golden Flashes,33.0,2021
48,Kentucky Wildcats,32.3,2021
49,LSU Tigers,26.5,2021
50,Liberty Flames,33.6,2021
51,Louisiana Monroe Warhawks,20.9,2021
52,Louisiana Ragin' Cajuns,31.1,2021
53,Louisiana Tech Bulldogs,28.0,2021
54,Louisville Cardinals,31.6,2021
55,Marshall Thundering Herd,33.0,2021
56,Maryland Terrapins,29.3,2021
57,Memphis Tigers,30.3,2021
58,Miami (OH) RedHawks,28.9,2021
59,Miami Hurricanes,34.1,2021
60,Michigan State Spartans,31.8,2021
61,Michigan Wolverines,35.8,2021
62,Middle Tennessee Blue Raiders,29.8,2021
63,Minnesota Golden Gophers,25.5,2021
64,Mississippi State Bulldogs,29.1,2021
65,Missouri Tigers,29.1,2021
66,NC State Wolfpack,33.1,2021
67,Navy Midshipmen,20.1,2021
68,Nebraska Cornhuskers,27.9,2021
69,Nevada Wolf Pack,35.7,2021
70,New Mexico Lobos,12.2,2021
71,New Mexico State Aggies,22.4,2021
72,North Carolina Tar Heels,35.2,2021
73,North Texas Mean Green,27.5,2021
74,Northern Illinois Huskies,32.2,2021
75,Northwestern Wildcats,16.6,2021
76,Notre Dame Fighting Irish,35.2,2021
77,Ohio Bobcats,22.6,2021
78,Ohio State Buckeyes,45.7,2021
79,Oklahoma Sooners,39.1,2021
80,Oklahoma State Cowboys,31.1,2021
81,Old Dominion Monarchs,27.6,2021
82,Ole Miss Rebels,33.7,2021
83,Oregon Ducks,31.4,2021
84,Oregon State Beavers,31.2,2021
85,Penn State Nittany Lions,24.8,2021
86,Pittsburgh Panthers,41.4,2021
87,Purdue Boilermakers,29.1,2021
88,Rice Owls,21.5,2021
89,Rutgers Scarlet Knights,19.7,2021
90,SMU Mustangs,38.4,2021
91,San Diego State Aztecs,27.4,2021
92,San José State Spartans,20.0,2021
93,South Alabama Jaguars,24.9,2021
94,South Carolina Gamecocks,22.6,2021
95,South Florida Bulls,23.2,2021
96,Southern Mississippi Golden Eagles,17.7,2021
97,Stanford Cardinal,20.4,2021
98,Syracuse Orange,24.9,2021
99,TCU Horned Frogs,28.7,2021
100,Temple Owls,16.3,2021
101,Tennessee Volunteers,39.3,2021
102,Texas A&M Aggies,29.3,2021
103,Texas Longhorns,35.3,2021
104,Texas State Bobcats,22.9,2021
105,Texas Tech Red Raiders,30.3,2021
106,Toledo Rockets,33.4,2021
107,Troy Trojans,22.8,2021
108,Tulane Green Wave,27.8,2021
109,Tulsa Golden Hurricane,26.5,2021
110,UAB Blazers,29.5,2021
111,UCF Knights,31.9,2021
112,UCLA Bruins,36.7,2021
113,UMass Minutemen,16.3,2021
114,UNLV Rebels,20.8,2021
115,USC Trojans,28.7,2021
116,UT San Antonio Roadrunners,36.9,2021
117,UTEP Miners,25.1,2021
118,Utah State Aggies,32.6,2021
119,Utah Utes,36.1,2021
120,Vanderbilt Commodores,15.8,2021
121,Virginia Cavaliers,34.6,2021
122,Virginia Tech Hokies,23.7,2021
123,Wake Forest Demon Deacons,41.0,2021
124,Washington Huskies,21.5,2021
125,Washington State Cougars,27.8,2021
126,West Virginia Mountaineers,25.2,2021
127,Western Kentucky Hilltoppers,44.2,2021
128,Western Michigan Broncos,32.5,2021
129,Wisconsin Badgers,25.4,2021
130,Wyoming Cowboys,25.4,2021
