Team,Points/G,Year
Air Force Falcons,27.8,2022
Akron Zips,21.5,2022
Alabama Crimson Tide,40.9,2022
Appalachian State Mountaineers,33.7,2022
Arizona State Sun Devils,27.2,2022
Arizona Wildcats,31.1,2022
Arkansas Razorbacks,30.7,2022
Arkansas State Red Wolves,25.2,2022
Army Black Knights,28.7,2022
Auburn Tigers,25.1,2022
BYU Cougars,31.2,2022
Ball State Cardinals,22.9,2022
Baylor Bears,33.0,2022
Boise State Broncos,29.3,2022
Boston College Eagles,18.8,2022
Bowling Green Falcons,23.7,2022
Buffalo Bulls,29.1,2022
California Golden Bears,23.8,2022
Central Michigan Chippewas,24.9,2022
Charlotte 49ers,24.7,2022
Cincinnati Bearcats,29.2,2022
Clemson Tigers,33.6,2022
Coastal Carolina Chanticleers,29.1,2022
Colorado Buffaloes,16.3,2022
Colorado State Rams,15.8,2022
Duke Blue Devils,32.5,2022
East Carolina Pirates,31.1,2022
Eastern Michigan Eagles,28.8,2022
Florida Atlantic Owls,29.5,2022
Florida Gators,29.3,2022
Florida International Panthers,19.7,2022
Florida State Seminoles,35.7,2022
Fresno State Bulldogs,30.2,2022
Georgia Bulldogs,36.9,2022
Georgia Southern Eagles,33.0,2022
Georgia State Panthers,29.7,2022
Georgia Tech Yellow Jackets,17.2,2022
Hawai'i Rainbow Warriors,20.3,2022
Houston Cougars,36.7,2022
Illinois Fighting Illini,25.5,2022
Indiana Hoosiers,23.4,2022
Iowa Hawkeyes,17.3,2022
Iowa State Cyclones,20.4,2022
James Madison Dukes,36.1,2022
Kansas Jayhawks,33.1,2022
Kansas State Wildcats,32.6,2022
Kent State Golden Flashes,28.7,2022
Kentucky Wildcats,22.6,2022
LSU Tigers,32.2,2022
Liberty Flames,28.2,2022
Louisiana Ragin' Cajuns,27.6,2022
Louisiana Tech Bulldogs,28.9,2022
Louisville Cardinals,27.5,2022
Marshall Thundering Herd,24.0,2022
Maryland Terrapins,29.2,2022
Memphis Tigers,34.5,2022
Miami (OH) RedHawks,20.8,2022
Miami Hurricanes,23.7,2022
Michigan State Spartans,24.8,2022
Michigan Wolverines,39.3,2022
Middle Tennessee Blue Raiders,29.1,2022
Minnesota Golden Gophers,28.2,2022
Mississippi State Bulldogs,32.3,2022
Missouri Tigers,25.6,2022
NC State Wolfpack,25.4,2022
Navy Midshipmen,21.5,2022
Nebraska Cornhuskers,22.8,2022
Nevada Wolf Pack,19.8,2022
New Mexico Lobos,15.6,2022
New Mexico State Aggies,26.5,2022
North Carolina Tar Heels,34.1,2022
North Texas Mean Green,33.1,2022
Northern Illinois Huskies,27.6,2022
Northwestern Wildcats,16.3,2022
Notre Dame Fighting Irish,30.3,2022
Ohio Bobcats,31.6,2022
Ohio State Buckeyes,44.2,2022
Oklahoma Sooners,32.3,2022
Oklahoma State Cowboys,31.4,2022
Old Dominion Monarchs,20.1,2022
Ole Miss Rebels,33.4,2022
Oregon Ducks,38.6,2022
Oregon State Beavers,31.9,2022
Penn State Nittany Lions,35.2,2022
Pittsburgh Panthers,30.9,2022
Purdue Boilermakers,28.0,2022
Rice Owls,25.3,2022
Rutgers Scarlet Knights,17.7,2022
SMU Mustangs,36.9,2022
San Diego State Aztecs,21.4,2022
San José State Spartans,27.8,2022
South Alabama Jaguars,31.6,2022
South Carolina Gamecocks,31.3,2022
South Florida Bulls,27.9,2022
Southern Miss Golden Eagles,25.4,2022
Stanford Cardinal,20.9,2022
Syracuse Orange,28.4,2022
TCU Horned Frogs,39.6,2022
Temple Owls,22.4,2022
Tennessee Volunteers,45.7,2022
Texas A&M Aggies,22.8,2022
Texas Longhorns,35.2,2022
Texas State Bobcats,20.8,2022
Texas Tech Red Raiders,32.8,2022
Toledo Rockets,31.8,2022
Troy Trojans,26.3,2022
Tulane Green Wave,34.6,2022
Tulsa Golden Hurricane,30.3,2022
UAB Blazers,29.8,2022
UCF Knights,33.4,2022
UCLA Bruins,38.4,2022
UConn Huskies,20.3,2022
UL Monroe Warhawks,22.6,2022
UMass Minutemen,12.2,2022
UNLV Rebels,27.4,2022
USC Trojans,41.4,2022
UTEP Miners,24.1,2022
UTSA Roadrunners,35.8,2022
Utah State Aggies,23.2,2022
Utah Utes,39.1,2022
Vanderbilt Commodores,24.9,2022
Virginia Cavaliers,16.6,2022
Virginia Tech Hokies,20.0,2022
Wake Forest Demon Deacons,35.9,2022
Washington Huskies,41.0,2022
Washington State Cougars,26.5,2022
West Virginia Mountaineers,30.8,2022
Western Kentucky Hilltoppers,35.3,2022
Western Michigan Broncos,19.8,2022
Wisconsin Badgers,27.5,2022
Wyoming Cowboys,20.9,2022
