ID,Team,Points/G,Year,Points/G_2022,Year:2022,Diff
1,Air Force Falcons,30.8,2021,27.8,2022,-3.0
2,Akron Zips,19.8,2021,21.5,2022,1.7
3,Alabama Crimson Tide,39.6,2021,40.9,2022,1.3
4,Appalachian State Mountaineers,34.5,2021,33.7,2022,-0.799999999999997
5,Arizona Wildcats,17.2,2021,31.1,2022,13.9
6,Arizona State Sun Devils,28.4,2021,27.2,2022,-1.2
7,Arkansas Razorbacks,30.9,2021,30.7,2022,-0.199999999999999
8,Arkansas State Red Wolves,25.3,2021,25.2,2022,-0.100000000000001
9,Army Black Knights,32.8,2021,28.7,2022,-4.1
10,Auburn Tigers,28.2,2021,25.1,2022,-3.1
11,Ball State Cardinals,24.1,2021,22.9,2022,-1.2
12,Baylor Bears,31.6,2021,33.0,2022,1.4
13,Boise State Broncos,29.2,2021,29.3,2022,0.100000000000001
14,Boston College Eagles,24.7,2021,18.8,2022,-5.9
15,Bowling Green Falcons,21.4,2021,23.7,2022,2.3
16,Buffalo Bulls,29.2,2021,29.1,2022,-0.0999999999999979
17,BYU Cougars,33.1,2021,31.2,2022,-1.9
18,California Golden Bears,23.8,2021,23.8,2022,0.0
19,Central Michigan Chippewas,32.3,2021,24.9,2022,-7.4
20,Charlotte 49ers,27.2,2021,24.7,2022,-2.5
21,Cincinnati Bearcats,36.9,2021,29.2,2022,-7.7
22,Clemson Tigers,26.3,2021,33.6,2022,7.3
23,Coastal Carolina Chanticleers,40.9,2021,29.1,2022,-11.8
24,Colorado Buffaloes,18.8,2021,16.3,2022,-2.5
25,Colorado State Rams,23.7,2021,15.8,2022,-7.9
26,Connecticut Huskies,15.6,2021,20.3,2022,4.7
27,Duke Blue Devils,22.8,2021,32.5,2022,9.7
28,East Carolina Pirates,29.7,2021,31.1,2022,1.4
29,Eastern Michigan Eagles,30.2,2021,28.8,2022,-1.4
30,Florida Gators,30.7,2021,29.3,2022,-1.4
31,Florida Atlantic Owls,25.6,2021,29.5,2022,3.9
32,Florida International Golden Panthers,20.3,2021,19.7,2022,-0.600000000000001
33,Florida State Seminoles,27.6,2021,35.7,2022,8.1
34,Fresno State Bulldogs,33.4,2021,30.2,2022,-3.2
35,Georgia Bulldogs,38.6,2021,36.9,2022,-1.7
36,Georgia Southern Eagles,20.3,2021,33.0,2022,12.7
37,Georgia State Panthers,28.2,2021,29.7,2022,1.5
38,Georgia Tech Yellow Jackets,24.0,2021,17.2,2022,-6.8
39,Hawai'i Rainbow Warriors,28.8,2021,20.3,2022,-8.5
40,Houston Cougars,35.9,2021,36.7,2022,0.800000000000004
41,Illinois Fighting Illini,19.8,2021,25.5,2022,5.7
42,Indiana Hoosiers,17.3,2021,23.4,2022,6.1
43,Iowa Hawkeyes,23.4,2021,17.3,2022,-6.1
44,Iowa State Cyclones,31.3,2021,20.4,2022,-10.9
46,Kansas Jayhawks,20.8,2021,33.1,2022,12.3
47,Kansas State Wildcats,27.5,2021,32.6,2022,5.1
48,Kent State Golden Flashes,33.0,2021,28.7,2022,-4.3
49,Kentucky Wildcats,32.3,2021,22.6,2022,-9.7
50,Liberty Flames,33.6,2021,28.2,2022,-5.4
51,Louisiana Ragin' Cajuns,31.1,2021,27.6,2022,-3.5
52,Louisiana Monroe Warhawks,20.9,2021,22.6,2022,1.7
53,Louisiana Tech Bulldogs,28.0,2021,28.9,2022,0.899999999999999
54,Louisville Cardinals,31.6,2021,27.5,2022,-4.1
