,season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility,positionType
0,2022,Kamren,Washington,DL,Sam Houston State,Memphis,2022-04-15T19:53:00.000Z,,,Immediate,Defense
1,2022,Jon,Sot,P,Harvard,Notre Dame,2021-12-03T20:53:00.000Z,,,Immediate,P
2,2022,Xavier,Hamlett,CB,Nevada,,2021-12-01T15:43:00.000Z,,,Immediate,Defense
3,2022,Ivan,Escobar,DL,New Mexico State,,2022-07-01T22:42:00.000Z,,3.0,Immediate,Defense
4,2022,AJ,Toney,WR,Samford,Middle Tennessee,2022-07-01T22:15:00.000Z,,3.0,Immediate,Offense
5,2022,Andrew,Robison,DUAL,Nicholls,Florida International,2022-07-01T05:00:00.000Z,,2.0,Immediate,DUAL
6,2022,CamRon,Jackson,DL,Memphis,Memphis,2022-01-19T12:42:00.000Z,,3.0,Immediate,Defense
7,2022,Davion,Ross,ATH,Eastern Kentucky,Memphis,2022-05-05T22:15:00.000Z,,2.0,Immediate,ATH
8,2022,Kobe,Baynes,OT,Louisville,Kansas,2022-08-16T18:04:00.000Z,,3.0,Immediate,Offense
9,2022,Sammy,Solomon,DL,UMass,Misericordia,2022-01-01T06:00:00.000Z,,3.0,Immediate,Defense
10,2022,Joel,Williams,CB,Kentucky,Memphis,2022-08-08T15:45:00.000Z,0.86,3.0,Immediate,Defense
11,2022,Micah,Davis,WR,Air Force,Iowa Western C.C.,2022-07-01T16:05:00.000Z,,,Immediate,Offense
12,2022,Eyabi,Anoma,EDGE,UT Martin,Michigan,2022-08-15T17:09:00.000Z,0.89,3.0,Immediate,Defense
13,2022,Malachi,Burns,WR,Missouri Western State,Middle Tennessee,2022-05-30T12:53:00.000Z,,3.0,Immediate,Offense
14,2022,Jalen,Hampton,RB,Virginia Tech,Elon,2022-04-29T13:49:00.000Z,,3.0,Immediate,Offense
15,2022,Jerrell,Boykins Jr.,DL,Louisiana Tech,Hutchinson C.C.,2022-01-02T00:18:00.000Z,,,Immediate,Defense
16,2022,Samari,Collier,DUAL,Illinois,,2022-07-30T15:48:00.000Z,,3.0,Immediate,DUAL
17,2022,Jahzion,Harris,EDGE,Texas A&M,Rutgers,2022-07-28T17:29:00.000Z,0.87,3.0,Immediate,Defense
18,2022,Dajeun,Gibson,S,Middle Tennessee,,2022-07-28T13:14:00.000Z,,3.0,Immediate,Defense
19,2022,Luke,Collinsworth,OT,Cincinnati,,2022-07-28T13:11:00.000Z,,3.0,Immediate,Offense
20,2022,Beau,Allen,QB,Kentucky,Tarleton State,2022-07-27T17:14:00.000Z,0.84,3.0,Immediate,Offense
21,2022,Malachi,Ledbetter,EDGE,Simon Fraser,Washington State,2022-01-10T06:00:00.000Z,,,Immediate,Defense
22,2022,Riley,Moore,P,Weber State,UMass,2022-03-01T06:00:00.000Z,,,Immediate,P
23,2022,Christian,Pedersen,TE,Louisville,,2022-07-26T09:11:00.000Z,,3.0,Immediate,Offense
24,2022,Isaiah,Johnson,CB,Dartmouth,Syracuse,2022-02-07T16:48:00.000Z,,,Immediate,Defense
25,2022,George,Reid,LB,Temple,,2022-02-09T14:14:00.000Z,,2.0,Immediate,Defense
26,2022,Jalil,Muhammad,IOL,Arkansas State,,2022-07-25T17:31:00.000Z,,3.0,Immediate,Offense
27,2022,Malik,Feaster,CB,Jacksonville State,Florida State,2022-07-13T13:59:00.000Z,,,Immediate,Defense
28,2022,Spencer,Arceneaux,QB,Nebraska,,2022-05-05T17:26:00.000Z,,,Immediate,Offense
29,2022,Markese,Stepp,RB,Nebraska,,2022-07-12T19:33:00.000Z,,4.0,Immediate,Offense
30,2022,J'Marick,Woods,S,Duke,,2022-07-10T14:20:00.000Z,,3.0,Immediate,Defense
31,2022,Tyler,Baron,EDGE,Tennessee,,2022-01-06T14:05:00.000Z,,4.0,Immediate,Defense
32,2022,Omar,Sims,DL,Jacksonville State,,2022-06-06T23:04:00.000Z,,,Immediate,Defense
33,2022,Amarius,Mims,OT,Georgia,,2022-04-10T20:22:00.000Z,0.94,4.0,Immediate,Offense
34,2022,Jacobe,Covington,CB,Washington,USC,2022-05-02T17:54:00.000Z,0.88,3.0,Immediate,Defense
35,2022,Grant,Laws,DL,UMass,Bucknell,2022-05-03T20:35:00.000Z,,,Immediate,Defense
36,2022,Patrick,Maddox,S,Utah State,,2022-02-22T17:11:00.000Z,,,Immediate,Defense
37,2022,James,Ziglor III,RB,Vanderbilt,Buffalo,2022-07-07T20:47:00.000Z,,3.0,Immediate,Offense
38,2022,Kyle,Mann,DL,Alabama,Alabama A&M,2022-07-06T19:26:00.000Z,,3.0,Immediate,Defense
39,2022,Alex,Stadthaus,K,USC,,2021-12-06T12:03:00.000Z,,2.0,Immediate,K
40,2022,Elisha,Guidry,S,UCLA,San José State,2022-04-22T05:00:00.000Z,,3.0,Immediate,Defense
41,2022,Malik,Williams,OT,Wyoming,San José State,2022-03-22T05:00:00.000Z,,3.0,Immediate,Offense
42,2022,Mordecai,McDaniel,S,Florida,,2022-07-02T15:01:00.000Z,0.87,3.0,Immediate,Defense
43,2022,Demarkcus,Bowman,RB,Florida,UCF,2022-06-27T19:04:00.000Z,0.88,3.0,TBD,Offense
44,2022,Dominick,Puni,IOL,Central Missouri State,Kansas,2022-03-01T20:26:00.000Z,,,Immediate,Offense
45,2022,Cameron,Kinnie,IOL,Georgia,UCF,2022-04-29T17:47:00.000Z,,3.0,Immediate,Offense
46,2022,Damian,Jackson,EDGE,Nebraska,Buffalo,2022-06-13T19:24:00.000Z,,,Immediate,Defense
47,2022,Fred,Martin,CB,Oregon State,,2022-06-30T16:20:00.000Z,,,Immediate,Defense
48,2022,Josh,Brown,CB,Troy,,2022-06-20T14:36:00.000Z,,3.0,Immediate,Defense
49,2022,Ray,Embry,TE,East Central,Buffalo,2022-04-06T19:17:00.000Z,,,Immediate,Offense
50,2022,Louie,Cresto,EDGE,Oregon,Nevada,2022-04-29T22:59:00.000Z,,2.0,Immediate,Defense
51,2022,D.J.,Williams,RB,Florida State,Arizona,2022-06-30T03:38:00.000Z,0.85,3.0,Immediate,Offense
52,2022,Jaylen,Moody,LB,Alabama,,2022-01-13T10:44:00.000Z,0.82,3.0,Immediate,Defense
53,2022,Fenley,Graham,CB,Florida,,2022-06-28T14:30:00.000Z,,3.0,Immediate,Defense
54,2022,KD,Davis,LB,North Texas,North Texas,2022-06-23T19:27:00.000Z,0.89,3.0,Immediate,Defense
55,2022,Max,Johnson,QB,LSU,Texas A&M,2021-12-08T23:07:00.000Z,0.92,4.0,Immediate,Offense
56,2022,Stone,Eby,SDE,SMU,,2022-01-06T15:51:00.000Z,0.83,3.0,Immediate,Defense
57,2022,Austin,Beier,IOL,Minnesota,,2022-05-02T21:50:00.000Z,,3.0,Immediate,Offense
58,2022,Levi,Bell,DL,Louisiana Tech,Texas State,2022-04-01T05:00:00.000Z,,,Immediate,Defense
59,2022,Devyn,King,CB,Maryland,Hawai'i,2022-05-01T19:38:00.000Z,,3.0,Immediate,Defense
60,2022,Jacob,Skobis,CB,Washington State,,2022-04-30T03:46:00.000Z,,,Immediate,Defense
61,2022,Jabar,Triplett,LB,Arizona,,2022-06-09T13:38:00.000Z,,3.0,Immediate,Defense
62,2022,Colby,Powers,TE,Arizona,,2022-03-24T17:37:00.000Z,,3.0,Immediate,Offense
63,2022,Kanan,Ray,IOL,Colorado,Tulane,2022-01-13T00:35:00.000Z,,,Immediate,Offense
64,2022,Ian,Kipp,QB,Kent State,,2022-02-22T18:27:00.000Z,,3.0,Immediate,Offense
65,2022,Noah,Potter,DL,Ohio State,Cincinnati,2022-05-16T21:08:00.000Z,,4.0,Immediate,Defense
66,2022,John,Brekke,IOL,Holy Cross,Miami (OH),2022-01-17T21:05:00.000Z,0.83,3.0,Immediate,Offense
67,2022,John Wesley,Kennedy III,RB,Georgia Southern,,2022-06-20T21:18:00.000Z,,3.0,Immediate,Offense
68,2022,Monte',McGary,CB,Utah State,Kansas,2022-06-21T16:38:00.000Z,,,Immediate,Defense
69,2022,Edward,Haralson,DL,Louisiana Monroe,,2021-10-28T18:36:00.000Z,0.75,2.0,Immediate,Defense
70,2022,Alex,Zayed,LB,Louisiana Tech,,2021-08-26T20:55:00.000Z,,2.0,Immediate,Defense
71,2022,Kyle,Helbig,TE,Colorado State,,2021-09-08T17:04:00.000Z,0.8,3.0,Immediate,Offense
72,2022,Colby,Richardson,CB,LSU,LSU,2022-06-01T14:56:00.000Z,,,Immediate,Defense
73,2022,Jayson,Jones,DL,Oregon,Auburn,2021-12-15T21:46:00.000Z,0.89,3.0,Immediate,Defense
74,2022,Anthony,Whigan,IOL,Penn State,Akron,2022-01-31T20:53:00.000Z,,4.0,Immediate,Offense
75,2022,Dorian,Gerald,EDGE,Arkansas,,2022-04-25T16:31:00.000Z,,3.0,Immediate,Defense
76,2022,Jashon,Watkins,ATH,Memphis,,2022-01-10T14:38:00.000Z,,3.0,Immediate,ATH
77,2022,Ryan,Glover,QB,California,Memphis,2022-04-28T18:16:00.000Z,,3.0,Immediate,Offense
78,2022,Henry,Chibueze,DL,Liberty,Maryland,2022-04-27T16:25:00.000Z,,3.0,Immediate,Defense
79,2022,Colton,Fitzgerald,QB,Boise State,Georgia Southern,2022-04-18T20:53:00.000Z,,,Immediate,Offense
80,2022,King,Mwikuta,LB,Alabama,Arkansas State,2022-01-11T19:23:00.000Z,,4.0,Immediate,Defense
81,2022,Desmyn,Baker,LB,Rice,Western Kentucky,2021-11-29T18:38:00.000Z,0.81,3.0,Immediate,Defense
82,2022,DJ,James,CB,Oregon,Auburn,2021-12-09T22:48:00.000Z,0.89,3.0,Immediate,Defense
83,2022,Jonathan,Mann,WR,Minnesota,,2022-05-02T20:08:00.000Z,,3.0,Immediate,Offense
84,2022,TJ,Lockley,WR,East Carolina,Jacksonville State,2022-03-22T19:08:00.000Z,,3.0,Immediate,Offense
85,2022,Ramon,Jefferson,RB,Sam Houston State,Kentucky,2022-01-31T19:22:00.000Z,0.9,4.0,Immediate,Offense
86,2022,Jojuan,Claiborne,CB,Nevada,,2021-12-29T17:29:00.000Z,,2.0,Immediate,Defense
87,2022,Kyle,McNamara,WR,Western Kentucky,,2022-01-25T20:53:00.000Z,,2.0,Immediate,Offense
88,2022,Parker,Eichenberger,TE,Houston,,2022-04-06T17:37:00.000Z,,3.0,Immediate,Offense
89,2022,Jeremy,Tate,WR,Memphis,,2022-04-18T17:03:00.000Z,,3.0,Immediate,Offense
90,2022,Alex,Adams,WR,LSU,Akron,2022-01-10T14:40:00.000Z,0.86,3.0,Immediate,Offense
91,2022,West,Weeks,ATH,Virginia,LSU,2022-01-15T19:17:00.000Z,0.88,3.0,Immediate,ATH
92,2022,Ke'Andre,Collins,WR,Central Michigan,,2022-04-26T15:52:00.000Z,,2.0,Immediate,Offense
93,2022,Teagen,Lenderink,K,North Carolina,Liberty,2022-05-10T19:23:00.000Z,,,Immediate,K
94,2022,Montae,Maxwell,S,Georgia Southern,,2022-04-19T15:19:00.000Z,,3.0,Immediate,Defense
95,2022,Jamel,Thomas,WR,South Alabama,,2021-10-27T18:19:00.000Z,0.79,2.0,Immediate,Offense
96,2022,Jacques,Wilson,CB,BYU,,2021-11-17T22:52:00.000Z,0.79,2.0,Immediate,Defense
97,2022,Jahmal,Sam,S,UT San Antonio,,2022-01-19T21:07:00.000Z,0.81,3.0,Immediate,Defense
98,2022,Josh,Tracey,WR,Connecticut,,2022-05-01T01:42:00.000Z,,3.0,Immediate,Offense
99,2022,Micah,Lopez,LB,Washington State,,2022-04-29T15:14:00.000Z,,,Immediate,Defense
100,2022,Erick,Young,S,Texas A&M,Blinn College,2022-01-27T22:00:00.000Z,,,Immediate,Defense
