firstName|lastName|positionType|origin|destination
Kamren|Washington|Defense|Sam Houston State|Memphis
Xavier|Hamlett|Defense|Nevada|
Ivan|Escobar|Defense|New Mexico State|
AJ|Toney|Offense|Samford|Middle Tennessee
Andrew|Robison|DUAL|Nicholls|Florida International
CamRon|Jackson|Defense|Memphis|Memphis
Davion|Ross|ATH|Eastern Kentucky|Memphis
Kobe|Baynes|Offense|Louisville|Kansas
Sammy|Solomon|Defense|UMass|Misericordia
Joel|Williams|Defense|Kentucky|Memphis
Micah|Davis|Offense|Air Force|Iowa Western C.C.
Eyabi|Anoma|Defense|UT Martin|Michigan
Malachi|Burns|Offense|Missouri Western State|Middle Tennessee
Jalen|Hampton|Offense|Virginia Tech|Elon
Jerrell|Boykins Jr.|Defense|Louisiana Tech|Hutchinson C.C.
Samari|Collier|DUAL|Illinois|
Jahzion|Harris|Defense|Texas A&M|Rutgers
Dajeun|Gibson|Defense|Middle Tennessee|
Luke|Collinsworth|Offense|Cincinnati|
Beau|Allen|Offense|Kentucky|Tarleton State
Malachi|Ledbetter|Defense|Simon Fraser|Washington State
Christian|Pedersen|Offense|Louisville|
Isaiah|Johnson|Defense|Dartmouth|Syracuse
George|Reid|Defense|Temple|
Jalil|Muhammad|Offense|Arkansas State|
Malik|Feaster|Defense|Jacksonville State|Florida State
Spencer|Arceneaux|Offense|Nebraska|
Markese|Stepp|Offense|Nebraska|
J'Marick|Woods|Defense|Duke|
Tyler|Baron|Defense|Tennessee|
Omar|Sims|Defense|Jacksonville State|
Amarius|Mims|Offense|Georgia|
Jacobe|Covington|Defense|Washington|USC
Grant|Laws|Defense|UMass|Bucknell
Patrick|Maddox|Defense|Utah State|
James|Ziglor III|Offense|Vanderbilt|Buffalo
Kyle|Mann|Defense|Alabama|Alabama A&M
Elisha|Guidry|Defense|UCLA|San José State
Malik|Williams|Offense|Wyoming|San José State
Mordecai|McDaniel|Defense|Florida|
Demarkcus|Bowman|Offense|Florida|UCF
Dominick|Puni|Offense|Central Missouri State|Kansas
Cameron|Kinnie|Offense|Georgia|UCF
Damian|Jackson|Defense|Nebraska|Buffalo
Fred|Martin|Defense|Oregon State|
Josh|Brown|Defense|Troy|
Ray|Embry|Offense|East Central|Buffalo
Louie|Cresto|Defense|Oregon|Nevada
D.J.|Williams|Offense|Florida State|Arizona
Jaylen|Moody|Defense|Alabama|
Fenley|Graham|Defense|Florida|
KD|Davis|Defense|North Texas|North Texas
Max|Johnson|Offense|LSU|Texas A&M
Stone|Eby|Defense|SMU|
Austin|Beier|Offense|Minnesota|
Levi|Bell|Defense|Louisiana Tech|Texas State
Devyn|King|Defense|Maryland|Hawai'i
Jacob|Skobis|Defense|Washington State|
Jabar|Triplett|Defense|Arizona|
Colby|Powers|Offense|Arizona|
Kanan|Ray|Offense|Colorado|Tulane
Ian|Kipp|Offense|Kent State|
Noah|Potter|Defense|Ohio State|Cincinnati
John|Brekke|Offense|Holy Cross|Miami (OH)
John Wesley|Kennedy III|Offense|Georgia Southern|
Monte'|McGary|Defense|Utah State|Kansas
Edward|Haralson|Defense|Louisiana Monroe|
Alex|Zayed|Defense|Louisiana Tech|
Kyle|Helbig|Offense|Colorado State|
Colby|Richardson|Defense|LSU|LSU
Jayson|Jones|Defense|Oregon|Auburn
Anthony|Whigan|Offense|Penn State|Akron
Dorian|Gerald|Defense|Arkansas|
Jashon|Watkins|ATH|Memphis|
Ryan|Glover|Offense|California|Memphis
Henry|Chibueze|Defense|Liberty|Maryland
Colton|Fitzgerald|Offense|Boise State|Georgia Southern
King|Mwikuta|Defense|Alabama|Arkansas State
Desmyn|Baker|Defense|Rice|Western Kentucky
DJ|James|Defense|Oregon|Auburn
Jonathan|Mann|Offense|Minnesota|
TJ|Lockley|Offense|East Carolina|Jacksonville State
Ramon|Jefferson|Offense|Sam Houston State|Kentucky
Jojuan|Claiborne|Defense|Nevada|
Kyle|McNamara|Offense|Western Kentucky|
Parker|Eichenberger|Offense|Houston|
Jeremy|Tate|Offense|Memphis|
Alex|Adams|Offense|LSU|Akron
West|Weeks|ATH|Virginia|LSU
Ke'Andre|Collins|Offense|Central Michigan|
Montae|Maxwell|Defense|Georgia Southern|
Jamel|Thomas|Offense|South Alabama|
Jacques|Wilson|Defense|BYU|
Jahmal|Sam|Defense|UT San Antonio|
Josh|Tracey|Offense|Connecticut|
Micah|Lopez|Defense|Washington State|
Erick|Young|Defense|Texas A&M|Blinn College
Josh|Moore|Defense|UCLA|Florida Atlantic
Gaberiel|Fuster|Defense|Liberty|
Deron|Harrell|Defense|Wisconsin|
Daniel|Carson|Defense|Georgia Tech|Georgia Tech
Andre|Seldon|Defense|Michigan|New Mexico State
Ricky|Pearsall|Offense|Arizona State|Florida
Kendall|Smith|Defense|Illinois|
James|Hansen|Defense|Utah State|
Wesley|Walker|Defense|Georgia Tech|Tennessee
Jarek|Broussard|Offense|Colorado|Michigan State
Thomas|Shelmire|Offense|SMU|
Marcel|Murray|Offense|Arkansas State|Arkansas State
