destination,TransferIn_Recruit,Year
Air Force,2,2021
Akron,3,2021
Alabama,3,2021
Appalachian State,7,2021
Arizona,16,2021
Arizona State,7,2021
Arkansas,5,2021
Arkansas State,17,2021
Army,0,2021
Auburn,10,2021
BYU,5,2021
Ball State,2,2021
Baylor,6,2021
Boise State,6,2021
Boston College,6,2021
Bowling Green,5,2021
Buffalo,6,2021
California,3,2021
Central Michigan,3,2021
Charlotte,11,2021
Cincinnati,3,2021
Clemson,0,2021
Coastal Carolina,4,2021
Colorado,6,2021
Colorado State,6,2021
Connecticut,2,2021
Duke,7,2021
East Carolina,11,2021
Eastern Michigan,3,2021
Florida,6,2021
Florida Atlantic,7,2021
Florida International,0,2021
Florida State,12,2021
Fresno State,8,2021
Georgia,3,2021
Georgia Southern,4,2021
Georgia State,3,2021
Georgia Tech,9,2021
Hawai'i,6,2021
Houston,10,2021
Illinois,9,2021
Indiana,8,2021
Iowa,1,2021
Iowa State,1,2021
James Madison,2,2021
Kansas,13,2021
Kansas State,8,2021
Kent State,7,2021
Kentucky,7,2021
LSU,2,2021
Liberty,6,2021
Louisiana,0,2021
Louisiana Monroe,0,2021
Louisiana Tech,9,2021
Louisville,6,2021
Marshall,6,2021
Maryland,1,2021
Memphis,12,2021
Miami,0,2021
Miami (OH),2,2021
Michigan,5,2021
Michigan State,14,2021
Middle Tennessee,6,2021
Minnesota,5,2021
Mississippi State,8,2021
Missouri,5,2021
NC State,0,2021
Navy,0,2021
Nebraska,5,2021
Nevada,6,2021
New Mexico,4,2021
New Mexico State,1,2021
North Carolina,1,2021
North Texas,11,2021
Northern Illinois,1,2021
Northwestern,7,2021
Notre Dame,4,2021
Ohio,1,2021
Ohio State,0,2021
Oklahoma,9,2021
Oklahoma State,5,2021
Old Dominion,7,2021
Ole Miss,0,2021
Oregon,0,2021
Oregon State,6,2021
Penn State,6,2021
Pittsburgh,4,2021
Purdue,8,2021
Rice,3,2021
Rutgers,7,2021
SMU,13,2021
San Diego State,2,2021
San José State,0,2021
South Alabama,13,2021
South Carolina,8,2021
South Florida,10,2021
Southern Mississippi,8,2021
Stanford,1,2021
Syracuse,3,2021
TCU,6,2021
Temple,11,2021
Tennessee,9,2021
Texas,8,2021
Texas A&M,1,2021
Texas State,19,2021
Texas Tech,11,2021
Toledo,5,2021
Troy,7,2021
Tulane,5,2021
Tulsa,6,2021
UAB,6,2021
UCF,10,2021
UCLA,8,2021
UMass,0,2021
UNLV,6,2021
USC,9,2021
UT San Antonio,0,2021
UTEP,4,2021
Utah,8,2021
Utah State,12,2021
Vanderbilt,3,2021
Virginia,6,2021
Virginia Tech,6,2021
Wake Forest,6,2021
Washington,4,2021
Washington State,7,2021
West Virginia,2,2021
Western Kentucky,19,2021
Western Michigan,1,2021
Wisconsin,2,2021
Wyoming,1,2021
