destination,TransferIn_Recruit
Akron,6
Alabama,1
Appalachian State,2
Arizona,5
Arizona State,4
Arkansas,6
Arkansas State,6
Auburn,5
BYU,1
Ball State,2
Baylor,2
Boise State,1
Boston College,1
Bowling Green,3
Buffalo,8
California,3
Central Michigan,1
Charlotte,3
Cincinnati,2
Coastal Carolina,3
Colorado,2
Colorado State,3
Connecticut,2
Duke,4
East Carolina,5
Eastern Michigan,2
Florida,2
Florida Atlantic,7
Florida International,5
Florida State,4
Fresno State,5
Georgia,1
Georgia Southern,3
Georgia State,1
Georgia Tech,7
Hawai'i,7
Houston,3
Illinois,4
Indiana,7
Iowa State,2
Kansas,8
Kansas State,5
Kent State,2
Kentucky,5
LSU,8
Liberty,4
Louisiana Monroe,2
Louisiana Tech,6
Louisville,8
Marshall,6
Maryland,3
Memphis,6
Miami,7
Miami (OH),4
Michigan,2
Michigan State,5
Middle Tennessee,4
Minnesota,5
Mississippi State,4
Missouri,9
NC State,1
Nebraska,6
Nevada,4
New Mexico,2
New Mexico State,4
North Carolina,3
North Texas,3
Northern Illinois,1
Northwestern,3
Notre Dame,2
Ohio,1
Ohio State,2
Oklahoma,6
Oklahoma State,1
Old Dominion,1
Ole Miss,7
Oregon,4
Oregon State,1
Penn State,1
Pittsburgh,1
Purdue,3
Rice,3
Rutgers,1
SMU,7
San Diego State,2
San José State,2
South Alabama,8
South Carolina,2
South Florida,8
Southern Mississippi,8
Stanford,1
Syracuse,4
TCU,8
Temple,2
Tennessee,3
Texas,2
Texas A&M,1
Texas State,5
Texas Tech,5
Toledo,4
Tulane,3
Tulsa,2
UAB,1
UCF,5
UCLA,8
UMass,11
UNLV,1
USC,12
UT San Antonio,4
UTEP,1
Utah,3
Utah State,4
Vanderbilt,3
Virginia,3
Virginia Tech,1
Wake Forest,3
Washington,3
Washington State,5
West Virginia,7
Western Kentucky,4
Western Michigan,2
Wisconsin,4
Wyoming,2
