ID,destination,TransferIn_Recruit
1,Air Force,0
2,Akron,6
3,Alabama,1
4,Appalachian State,2
5,Arizona,5
6,Arizona State,4
7,Arkansas,6
8,Arkansas State,6
9,Army,0
10,Auburn,5
11,Ball State,2
12,Baylor,2
13,Boise State,1
14,Boston College,1
15,Bowling Green,3
16,Buffalo,8
17,BYU,1
18,California,3
19,Central Michigan,1
20,Charlotte,3
21,Cincinnati,2
22,Clemson,0
23,Coastal Carolina,3
24,Colorado,2
25,Colorado State,3
26,Connecticut,2
27,Duke,4
28,East Carolina,5
29,Eastern Michigan,2
30,Florida,2
31,Florida Atlantic,7
32,Florida International,5
33,Florida State,4
34,Fresno State,5
35,Georgia,1
36,Georgia Southern,3
37,Georgia State,1
38,Georgia Tech,7
39,Hawai'i,7
40,Houston,3
41,Illinois,4
42,Indiana,7
43,Iowa,0
44,Iowa State,2
45,Kansas,8
46,Kansas State,5
47,Kent State,2
48,Kentucky,5
49,Liberty,4
50,Louisiana,0
51,Louisiana Monroe,2
52,Louisiana Tech,6
53,Louisville,8
54,LSU,8
55,Marshall,6
56,Maryland,3
57,Memphis,6
58,Miami,7
59,Miami (OH),4
60,Michigan,2
61,Michigan State,5
62,Middle Tennessee,4
63,Minnesota,5
64,Mississippi State,4
65,Missouri,9
66,Navy,0
67,NC State,1
68,Nebraska,6
69,Nevada,4
70,New Mexico,2
71,New Mexico State,4
72,North Carolina,3
73,Northern Illinois,1
74,North Texas,3
75,Northwestern,3
76,Notre Dame,2
77,Ohio,1
78,Ohio State,2
79,Oklahoma,6
80,Oklahoma State,1
81,Old Dominion,1
82,Ole Miss,7
83,Oregon,4
84,Oregon State,1
85,Penn State,1
86,Pittsburgh,1
87,Purdue,3
88,Rice,3
89,Rutgers,1
90,San Diego State,2
91,San José State,2
92,SMU,7
93,South Alabama,8
94,South Carolina,2
95,Southern Mississippi,8
96,South Florida,8
97,Stanford,1
98,Syracuse,4
99,TCU,8
100,Temple,2
101,Tennessee,3
102,Texas,2
103,Texas A&M,1
104,Texas State,5
105,Texas Tech,5
106,Toledo,4
107,Troy,0
108,Tulane,3
109,Tulsa,2
110,UAB,1
111,UCF,5
112,UCLA,8
113,UMass,11
114,UNLV,1
115,USC,12
116,Utah,3
117,Utah State,4
118,UTEP,1
119,UT San Antonio,4
120,Vanderbilt,3
121,Virginia,3
122,Virginia Tech,1
123,Wake Forest,3
124,Washington,3
125,Washington State,5
126,Western Kentucky,4
127,Western Michigan,2
128,West Virginia,7
129,Wisconsin,4
130,Wyoming,2
