ID,origin,TransferOut_Recruit
1,Air Force,1
2,Akron,3
3,Alabama,11
4,Appalachian State,1
5,Arizona,5
6,Arizona State,8
7,Arkansas,2
8,Arkansas State,3
9,Army,0
10,Auburn,5
11,Ball State,1
12,Baylor,4
13,Boise State,2
14,Boston College,3
15,Bowling Green,0
16,Buffalo,6
17,BYU,3
18,California,4
19,Central Michigan,1
20,Charlotte,1
21,Cincinnati,3
22,Clemson,5
23,Coastal Carolina,0
24,Colorado,7
25,Colorado State,5
26,Connecticut,3
27,Duke,4
28,East Carolina,2
29,Eastern Michigan,1
30,Florida,6
31,Florida Atlantic,1
32,Florida International,4
33,Florida State,9
34,Fresno State,0
35,Georgia,7
36,Georgia Southern,0
37,Georgia State,1
38,Georgia Tech,4
39,Hawai'i,3
40,Houston,4
41,Illinois,8
42,Indiana,6
43,Iowa,4
44,Iowa State,3
45,Kansas,5
46,Kansas State,4
47,Kent State,0
48,Kentucky,4
49,Liberty,0
50,Louisiana,5
51,Louisiana Monroe,1
52,Louisiana Tech,3
53,Louisville,7
54,LSU,6
55,Marshall,2
56,Maryland,7
57,Memphis,3
58,Miami,5
59,Miami (OH),0
60,Michigan,3
61,Michigan State,6
62,Middle Tennessee,3
63,Minnesota,7
64,Mississippi State,7
65,Missouri,6
66,Navy,0
67,NC State,0
68,Nebraska,5
69,Nevada,8
70,New Mexico,3
71,New Mexico State,3
72,North Carolina,6
73,Northern Illinois,1
74,North Texas,1
75,Northwestern,3
76,Notre Dame,5
77,Ohio,0
78,Ohio State,3
79,Oklahoma,7
80,Oklahoma State,4
81,Old Dominion,1
82,Ole Miss,8
83,Oregon,11
84,Oregon State,3
85,Penn State,6
86,Pittsburgh,4
87,Purdue,2
88,Rice,4
89,Rutgers,7
90,San Diego State,2
91,San José State,2
92,SMU,4
93,South Alabama,0
94,South Carolina,4
95,Southern Mississippi,0
96,South Florida,2
97,Stanford,3
98,Syracuse,7
99,TCU,4
100,Temple,2
101,Tennessee,6
102,Texas,7
103,Texas A&M,5
104,Texas State,1
105,Texas Tech,1
106,Toledo,3
107,Troy,2
108,Tulane,0
109,Tulsa,2
110,UAB,1
111,UCF,7
112,UCLA,3
113,UMass,0
114,UNLV,0
115,USC,10
116,Utah,4
117,Utah State,1
118,UTEP,2
119,UT San Antonio,0
120,Vanderbilt,5
121,Virginia,6
122,Virginia Tech,6
123,Wake Forest,3
124,Washington,2
125,Washington State,5
126,Western Kentucky,3
127,Western Michigan,2
128,West Virginia,9
129,Wisconsin,3
130,Wyoming,4
