season,firstName,lastName,positionType,origin,destination
2022,Alex,Adams,Offense,LSU,Akron
2022,Anthony,Whigan,Offense,Penn State,Akron
2022,Caden,Clark,Offense,Alabama,Akron
2022,Cameron,Threatt,Defense,Mississippi State,Akron
2022,Cameron,Wiley,Offense,Minnesota,Akron
2022,Clyde,Price,Offense,Kansas State,Akron
2022,Curtis,Harper,Defense,Syracuse,Akron
2022,Daniel,George,Offense,Penn State,Akron
2022,Devon,Robinson,Defense,Memphis,Akron
2022,Kerry,Martin,Defense,West Virginia,Akron
2022,Max,Banes,Offense,Houston,Akron
2022,Nate,Thompson,Defense,Duke,Akron
2022,Shocky,Jacques-Louis,Offense,Pittsburgh,Akron
2022,TJ,Banks,Offense,West Virginia,Akron
2022,Tim,Terry,Defense,Buffalo,Akron
2022,Eli,Ricks,Defense,LSU,Alabama
2022,Jahmyr,Gibbs,Offense,Georgia Tech,Alabama
2022,Jermaine,Burton,Offense,Georgia,Alabama
2022,Tyler,Harrell,Offense,Louisville,Alabama
2022,Tyler,Steen,Offense,Vanderbilt,Alabama
2022,Ahmani,Marshall,Offense,Wake Forest,Appalachian State
2022,Andrew,Parker,Defense,Arkansas,Appalachian State
2022,Brady,McBride,Offense,Texas State,Appalachian State
2022,Kaedin,Robinson,Offense,UCF,Appalachian State
2022,Marcus,Haskins,Defense,Liberty,Appalachian State
2022,Tyler,Page,Offense,SMU,Appalachian State
2022,Anthony,Solomon,Defense,Michigan,Arizona
2022,D.J.,Williams,Offense,Florida State,Arizona
2022,DJ,Warnell,Defense,UCLA,Arizona
2022,Hunter,Echols,Defense,USC,Arizona
2022,Jacob,Cowing,Offense,UTEP,Arizona
2022,Jayden,de Laura,Offense,Washington State,Arizona
2022,Jeremy,Mercier,Defense,Utah,Arizona
2022,Tiaoalii,Savea,Defense,UCLA,Arizona
2022,Cam,Johnson,Offense,Vanderbilt,Arizona State
2022,Chris,Edmonds,Defense,Samford,Arizona State
2022,Chris,Martinez,Offense,San Diego State,Arizona State
2022,Des,Holmes,Offense,Penn State,Arizona State
2022,Emmit,Bohle,Offense,Northern State,Arizona State
2022,Emory,Jones,Offense,Florida,Arizona State
2022,Joey,Ramos,Offense,Iowa State,Arizona State
2022,Khoury,Bethley,Defense,Hawai'i,Arizona State
2022,Messiah,Swinson,Offense,Missouri,Arizona State
2022,Nesta Jade,Silvera,Defense,Miami,Arizona State
2022,Paul,Tyson,Offense,Alabama,Arizona State
2022,Ro,Torrence,Defense,Auburn,Arizona State
2022,Xazavian,Valladay,Offense,Wyoming,Arizona State
2022,Cade,Fortin,Offense,South Florida,Arkansas
2022,Drew,Sanders,Defense,Alabama,Arkansas
2022,Dwight,McGlothern,Defense,LSU,Arkansas
2022,Jadon,Haselwood,Offense,Oklahoma,Arkansas
2022,Jordan,Domineck,Defense,Georgia Tech,Arkansas
2022,Landon,Jackson,Defense,LSU,Arkansas
2022,Latavious,Brini,Defense,Georgia,Arkansas
2022,Matt,Landers,Offense,Toledo,Arkansas
2022,Terry,Hampton,Defense,Arkansas State,Arkansas
2022,Blayne,Toll,Defense,Colorado,Arkansas State
2022,Champ,Flemings,Offense,Oregon State,Arkansas State
2022,Cruz,Temple,Defense,East Carolina,Arkansas State
2022,Eddie,Smith,Defense,Illinois,Arkansas State
2022,Ja'Quez,Cross,Offense,Purdue,Arkansas State
2022,Jack,Kristofek,Offense,Mississippi State,Arkansas State
2022,Jordan,Carmouche,Defense,Houston,Arkansas State
2022,Jordan,Rhodes,Offense,Ole Miss,Arkansas State
2022,King,Mwikuta,Defense,Alabama,Arkansas State
2022,Terion,Sugick,Defense,Vanderbilt,Arkansas State
2022,Craig,McDonald,Defense,Iowa State,Auburn
2022,DJ,James,Defense,Oregon,Auburn
2022,Dazalin,Worsham,Offense,Miami,Auburn
2022,Eugene,Asante,Defense,North Carolina,Auburn
2022,Grant,Hidalgo,Offense,Illinois,Auburn
2022,Jayson,Jones,Defense,Oregon,Auburn
2022,Koy,Moore,Offense,LSU,Auburn
2022,Marcus,Bragg,Defense,Western Kentucky,Auburn
2022,Zach,Calzada,Offense,Texas A&M,Auburn
