Unnamed: 0,season,firstName,lastName,position,origin,destination,positionType
0,2022,CamRon,Jackson,DL,Memphis,Memphis,Defense
1,2022,Malachi,Ledbetter,EDGE,Simon Fraser,Washington State,Defense
2,2022,Isaiah,Johnson,CB,Dartmouth,Syracuse,Defense
3,2022,Maurice,White,DL,Memphis,Central Michigan,Defense
4,2022,Emeka,Megwa,RB,Washington,,Offense
5,2022,Jaden,Hullaby,RB,Texas,New Mexico,Offense
6,2022,Demarquez,Trotter,S,Western Kentucky,Long Island University,Defense
7,2022,Janaz,Jordan,DL,Colorado,Towson,Defense
8,2022,Ken,Talley,EDGE,Penn State,Michigan State,Defense
9,2022,Marcus,Clarke,CB,Miami,Missouri,Defense
10,2022,George,Reid,LB,Temple,,Defense
11,2022,Mike,Evans,WR,Robert Morris,West Virginia,Offense
12,2022,Kamren,Washington,DL,Sam Houston State,Memphis,Defense
13,2022,Jon,Sot,P,Harvard,Notre Dame,Special
14,2022,Xavier,Hamlett,CB,Nevada,,Defense
15,2022,Ivan,Escobar,DL,New Mexico State,,Defense
16,2022,AJ,Toney,WR,Samford,Middle Tennessee,Offense
17,2022,Andrew,Robison,DUAL,Nicholls,Florida International,DUAL
18,2022,Davion,Ross,ATH,Eastern Kentucky,Memphis,ATH
19,2022,Kobe,Baynes,OT,Louisville,Kansas,Offense
20,2022,Sammy,Solomon,DL,UMass,Misericordia,Defense
21,2022,Joel,Williams,CB,Kentucky,Memphis,Defense
22,2022,Micah,Davis,WR,Air Force,Iowa Western C.C.,Offense
23,2022,Eyabi,Anoma,EDGE,UT Martin,Michigan,Defense
24,2022,Malachi,Burns,WR,Missouri Western State,Middle Tennessee,Offense
25,2022,Jalen,Hampton,RB,Virginia Tech,Elon,Offense
26,2022,Jerrell,Boykins Jr.,DL,Louisiana Tech,Hutchinson C.C.,Defense
27,2022,Samari,Collier,DUAL,Illinois,,DUAL
28,2022,Jahzion,Harris,EDGE,Texas A&M,Rutgers,Defense
29,2022,Demarkcus,Bowman,RB,Florida,UCF,Offense
30,2022,Dajeun,Gibson,S,Middle Tennessee,,Defense
31,2022,Luke,Collinsworth,OT,Cincinnati,,Offense
32,2022,Beau,Allen,QB,Kentucky,Tarleton State,Offense
33,2022,Markese,Stepp,RB,Nebraska,,Offense
34,2022,Riley,Moore,P,Weber State,UMass,Special
35,2022,Christian,Pedersen,TE,Louisville,,Offense
36,2022,Jalil,Muhammad,IOL,Arkansas State,,Offense
37,2022,Malik,Feaster,CB,Jacksonville State,Florida State,Defense
38,2022,Spencer,Arceneaux,QB,Nebraska,,Offense
39,2022,J'Marick,Woods,S,Duke,,Defense
40,2022,Omar,Sims,DL,Jacksonville State,,Defense
41,2022,Jacobe,Covington,CB,Washington,USC,Defense
42,2022,Grant,Laws,DL,UMass,Bucknell,Defense
43,2022,Patrick,Maddox,S,Utah State,,Defense
44,2022,James,Ziglor III,RB,Vanderbilt,Buffalo,Offense
45,2022,Kyle,Mann,DL,Alabama,Alabama A&M,Defense
46,2022,Elisha,Guidry,S,UCLA,San José State,Defense
47,2022,Malik,Williams,OT,Wyoming,San José State,Offense
48,2022,Mordecai,McDaniel,S,Florida,,Defense
49,2022,Justin,Rogers,QB,UNLV,,Offense
50,2022,John,Brunner,IOL,North Texas,,Offense
51,2022,Ridge,Jacobs,QB,South Florida,,Offense
52,2022,William,Rogers,DL,South Carolina,McNeese,Defense
53,2022,Darrell,Jackson,DL,Maryland,Miami,Defense
54,2022,Garrett,Williams,CB,Temple,Fordham,Defense
55,2022,Tyler,Brown,IOL,Louisiana,,Offense
